INDV    O(HOM)  E(HOM)  N_SITES F
100_PI667165    3961006 3370178.0   4219464 0.69568
102_PI649509    4059854 3431404.6   4294733 0.72794
157_PI604587    4425434 3615803.0   4573191 0.84567
161_Ames2215    4061733 3420735.4   4300315 0.72875
231_AMA155  4131830 3514302.0   4413657 0.68663
69_PI643039 4176303 3549850.5   4449402 0.69641
71_PI643058 4165845 3592667.5   4504462 0.62863
74_PI511713 4145265 3521706.7   4422421 0.69229
75_PI511717 4037099 3413465.3   4281699 0.71828
77_PI649514 3772672 3196329.5   3991926 0.72442
78_PI606798 4070458 3448860.9   4317491 0.71561
79_PI576482 4062037 3441338.1   4307310 0.71677
87_PI649609 4053390 3436945.8   4302071 0.71255
92_PI451826 4243081 3650395.0   4587661 0.63236
94_Ames5552 3964919 3369970.8   4217883 0.70166
95_PI643042 1917622 1580264.2   1946204 0.92189
96_PI643049 4173893 3550833.0   4450660 0.69242
99_PI649524 4124130 3502999.2   4387998 0.70184
PI433228    4106241 3525594.2   4430137 0.64192
PI511714    3992041 3569746.1   4489354 0.45921
PI576481    4197176 3654247.0   4589939 0.58024
PI604595    4029566 3702293.7   4680505 0.33456
PI643037    4093876 3584176.6   4498162 0.55767
PI658728    4146518 3548915.5   4455221 0.65938
PI667160    4143011 3554293.7   4466671 0.64526
